74000 7400000 15	133	1734	30600	689871	1.9e+07	6.5e+08	2.3e+10	4.2e+14	6.3e+19	8.3e+24	Inf	Inf
75000 10500000 15	131	1715	30234	673221	1.9e+07	6.1e+08	2.3e+10	3.7e+14	5.5e+19	7.2e+24	Inf	Inf
75000 7500000 15	131	1715	30234	673221	1.9e+07	6.1e+08	2.3e+10	3.7e+14	5.5e+19	7.2e+24	Inf	Inf
76620 10000000 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
76620 15000000 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
76620 23259610 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
76620 24176890 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
76620 26954350 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
76620 30000000 15	130	1680	29230	648794	1.8e+07	5.9e+08	2.1e+10	3e+14	4.4e+19	5.8e+24	Inf	Inf
80000 8000000 15	127	1613	27611	602639	1.6e+07	5e+08	1.9e+10	1.9e+14	2.8e+19	3.7e+24	Inf	Inf
100000 10000000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 10500000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 11125212 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 11893855 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 12255006 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 12277371 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 12600602 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 12625951 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 12700000 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
100000 13585673 13	104	1220	19178	382991	9347212	2.7e+08	9.4e+09	1.4e+13	2.1e+18	2.9e+23	1.2e+30	Inf
